sha256,precision_top1,recall_top1,f1_top1,precision_top2,recall_top2,f1_top2,precision_top3,recall_top3,f1_top3,precision_top4,recall_top4,f1_top4,precision_top5,recall_top5,f1_top5
2fdcc0b0f3bdedda830c11b48c289c85857665a84babf42e4fd4ba823d8819ce,0.0,0.0,0,0.5,0.2,0.2857,0.6667,0.4,0.5,0.75,0.6,0.6667,0.6,0.6,0.6
03c24c4da5f42a1b9a770e84a0dd1f8e690b9e6873bf338fbec1d75d80006739,1.0,0.25,0.4,0.5,0.25,0.3333,0.3333,0.25,0.2857,0.25,0.25,0.25,0.2,0.25,0.2222
3c21819ed32b31c231e20b51b1f956e4160a7b8dbfe7468b096ce64b4b138007,0.0,0.0,0,0.5,0.3333,0.4,0.3333,0.3333,0.3333,0.25,0.3333,0.2857,0.2,0.3333,0.25
3ddab0e4f018293bc930fb5a635c471074af3cce36801955d938d3eae8a5c737,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
5ac858d76e8ff1f69dc3cc87f6fe63c705e73b91141468c2959aebaebeeeb5ed,1.0,0.3333,0.5,0.5,0.3333,0.4,0.3333,0.3333,0.3333,0.25,0.3333,0.2857,0.4,0.6667,0.5
5af982e3e7bfb72f09c58c942243bda454f917bc5e0a5b048e579b2c5faa1085,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.4,0.4,0.4
5e74833e8f9a6e8a92cca35de25fb0d6b68c84d0bc22b9c939b51737acb83494,0.0,0.0,0,0.0,0.0,0,0.3333,0.3333,0.3333,0.5,0.6667,0.5714,0.4,0.6667,0.5
6a782c68b798d60b57784b764fe4e29c1c2b373d1c3fb7acb9efaab9144af081,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.4,0.4,0.4
6b5b9c651ba3c492a4fd59da31ead2f2a788e4ad6f4bece55fb004bbaa87ca64,1.0,0.2,0.3333,1.0,0.4,0.5714,0.6667,0.4,0.5,0.75,0.6,0.6667,0.6,0.6,0.6
6b6d820ce1c8df1c795e938995133201a5c75ad3989cd51568323b671ecf8109,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
6e81917232d1900d943bbb73b5ac5a96453e17896cdcf2b309242be6cc988dd0,1.0,0.3333,0.5,0.5,0.3333,0.4,0.6667,0.6667,0.6667,0.5,0.6667,0.5714,0.4,0.6667,0.5
7a84dd83f4f00cf0723b76a6a56587bdce6d57bd8024cc9c55565a442806cf69,0.0,0.0,0,0.5,0.3333,0.4,0.3333,0.3333,0.3333,0.5,0.6667,0.5714,0.4,0.6667,0.5
7ac86b5adb380a31243a480d2665b4b7b78ea177a824bbcfbf785fc7b34acb71,0.0,0.0,0,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
7b5bfbc787d75cd1d8035161fd5b9139f3133f93d295e26cef10f677d9e2c879,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.4,0.4,0.4
7b489b2c0652daa155af036c9ff79d55c69815bec3eb3e5d0f8489195ed16af0,0.0,0.0,0,0.5,0.3333,0.4,0.3333,0.3333,0.3333,0.25,0.3333,0.2857,0.2,0.3333,0.25
7cc7e1f381c7ba108efde283d52ad7955e583e6f9192cf46a593a4a36e6250ef,1.0,0.3333,0.5,0.5,0.3333,0.4,0.6667,0.6667,0.6667,0.5,0.6667,0.5714,0.4,0.6667,0.5
7e5e6774dc5b5b89cc72e18691ecc9c1c2f75443898187c634fa72c4f91b5a82,0.0,0.0,0,0.5,0.25,0.3333,0.3333,0.25,0.2857,0.25,0.25,0.25,0.2,0.25,0.2222
7e9ced472ad7c31af49f73118ba7f6e5599ef2c289234c847b1ae140a54b07f6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.25,0.5,0.3333,0.2,0.5,0.2857
7f73883c5273dfd9d00e562121306dac90132743df03231914138af0438b43d9,1.0,0.5,0.6667,0.5,0.5,0.5,0.3333,0.5,0.4,0.25,0.5,0.3333,0.2,0.5,0.2857
8b1733372859ca38e68f6041f34097604546024ff22d9151bb985e6fc173093b,1.0,0.5,0.6667,0.5,0.5,0.5,0.3333,0.5,0.4,0.25,0.5,0.3333,0.2,0.5,0.2857
8e9ba79924440b115b8999f9d594c6a29091674d9b8b4fb6ba7feb8bc3738baf,1.0,0.5,0.6667,0.5,0.5,0.5,0.3333,0.5,0.4,0.25,0.5,0.3333,0.2,0.5,0.2857
08ecce1fb89755fa576a2c1c855bbb0f701ef20c791f56dc0c675fb2a8163691,1.0,0.2,0.3333,1.0,0.4,0.5714,0.6667,0.4,0.5,0.75,0.6,0.6667,0.6,0.6,0.6
8ecea24c43126ff5e7650fb25482224fef2dd2eb64d802e47a1f089669f0e137,0.0,0.0,0,0.0,0.0,0,0.3333,0.3333,0.3333,0.5,0.6667,0.5714,0.4,0.6667,0.5
8f76e7c72e17763b750529f776a68ad05e86a6dd3a06374b2acd8d7e4821374b,0.0,0.0,0,0.5,0.2,0.2857,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
9b128bead261e37e627633f1c1eaa0e242f0681b07074badfc03c0f59120a5b2,1.0,0.3333,0.5,0.5,0.3333,0.4,0.6667,0.6667,0.6667,0.5,0.6667,0.5714,0.4,0.6667,0.5
09bbc4211e7a0e63804344324e0528f31bc527e993662b5832f308629b6d2abf,1.0,0.2,0.3333,1.0,0.4,0.5714,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
9d3ab8d52c79c14a132e08fd1c15d7b0078fef6bbf2bfa2cf5a2dca07a34286e,1.0,0.2,0.3333,1.0,0.4,0.5714,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
10feb93ebdb8dd942d6b7a878d1ee3920584e89cdead6e34ae8292bfb1916116,0.0,0.0,0,0.5,0.5,0.5,0.3333,0.5,0.4,0.25,0.5,0.3333,0.2,0.5,0.2857
